Puntos turísticos;Establecimientos y personal empleado (plazas);Periodo;Total
22125 Huesca;Grado de ocupación por plazas;2024M08;61,28
22125 Huesca;Grado de ocupación por plazas;2024M07;55,26
22125 Huesca;Grado de ocupación por plazas;2024M06;47,62
22125 Huesca;Grado de ocupación por plazas;2024M05;53,50
22125 Huesca;Grado de ocupación por plazas;2024M04;52,79
22125 Huesca;Grado de ocupación por plazas;2024M03;48,47
22125 Huesca;Grado de ocupación por plazas;2024M02;43,18
22125 Huesca;Grado de ocupación por plazas;2024M01;38,05
22125 Huesca;Grado de ocupación por plazas;2023M12;""
22125 Huesca;Grado de ocupación por plazas;2023M11;""
22125 Huesca;Grado de ocupación por plazas;2023M10;""
22125 Huesca;Grado de ocupación por plazas;2023M09;""
22125 Huesca;Grado de ocupación por plazas;2023M08;""
22125 Huesca;Grado de ocupación por plazas;2023M07;""
22125 Huesca;Grado de ocupación por plazas;2023M06;""
22125 Huesca;Grado de ocupación por plazas;2023M05;""
22125 Huesca;Grado de ocupación por plazas;2023M04;""
22125 Huesca;Grado de ocupación por plazas;2023M03;""
22125 Huesca;Grado de ocupación por plazas;2023M02;""
22125 Huesca;Grado de ocupación por plazas;2023M01;""
22125 Huesca;Grado de ocupación por plazas;2022M12;""
22125 Huesca;Grado de ocupación por plazas;2022M11;""
22125 Huesca;Grado de ocupación por plazas;2022M10;""
22125 Huesca;Grado de ocupación por plazas;2022M09;""
22125 Huesca;Grado de ocupación por plazas;2022M08;""
22125 Huesca;Grado de ocupación por plazas;2022M07;""
22125 Huesca;Grado de ocupación por plazas;2022M06;""
22125 Huesca;Grado de ocupación por plazas;2022M05;""
22125 Huesca;Grado de ocupación por plazas;2022M04;""
22125 Huesca;Grado de ocupación por plazas;2022M03;""
22125 Huesca;Grado de ocupación por plazas;2022M02;""
22125 Huesca;Grado de ocupación por plazas;2022M01;""
22125 Huesca;Grado de ocupación por plazas;2021M12;""
22125 Huesca;Grado de ocupación por plazas;2021M11;""
22125 Huesca;Grado de ocupación por plazas;2021M10;""
22125 Huesca;Grado de ocupación por plazas;2021M09;""
22125 Huesca;Grado de ocupación por plazas;2021M08;""
22125 Huesca;Grado de ocupación por plazas;2021M07;""
22125 Huesca;Grado de ocupación por plazas;2021M06;""
22125 Huesca;Grado de ocupación por plazas;2021M05;""
22125 Huesca;Grado de ocupación por plazas;2021M04;""
