estacion,anio,mes,comunidad,orientacion,altitud_base_m,altitud_cima_m,desnivel_m,umbria,dias_abierta,dias_totales,pct_dias_abierta,km_abiertos_med,pct_remontes_med,pct_pistas_med,pct_km_med,espesor_max_med,espesor_min_med,dias_nieve_polvo,dias_nieve_dura,dias_nieve_artificial,dias_nieve_pisada,dias_nieve_primavera,dias_finde,dias_festivo,dias_semana_navidad,dias_semana_santa,dias_temporada_esqui,temp_max_med,temp_min_med,temp_media_med,precipitacion_total,nieve_total_cm,viento_max_med,zona_hotelera,ocupacion_general_pct,ocupacion_finde_pct
Alto Campoo,2022,3,Cantabria,N,1530,2175,645,1,31,31,1.0,15.144193548387097,0.5349462365591398,0.5918653576437587,0.49849221686593476,68.38709677419355,14.67741935483871,11,9,0,0,17,8,0,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2022,4,Cantabria,N,1530,2175,645,1,15,30,0.5,9.930666666666667,0.36666666666666664,0.4115942028985507,0.32688172043010755,83.125,15.625,6,4,0,0,10,9,3,0,2,30,,,,0.0,0.0,,,,
Alto Campoo,2022,5,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,9,2,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2022,6,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2022,7,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,10,0,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2022,8,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,8,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2022,9,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,1,0,0,0,,,,0.0,0.0,,,,
Alto Campoo,2022,10,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,10,1,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2022,11,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,8,1,0,0,30,,,,0.0,0.0,,,,
Alto Campoo,2022,12,Cantabria,N,1530,2175,645,1,0,31,0.0,,,,,,,0,0,0,0,0,9,4,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2023,1,Cantabria,N,1530,2175,645,1,10,31,0.3225806451612903,12.440999999999999,0.5083333333333333,0.4913043478260869,0.40951283739302174,75.45454545454545,31.363636363636363,10,0,0,0,0,9,2,2,0,31,,,,0.0,0.0,,,,
Alto Campoo,2023,2,Cantabria,N,1530,2175,645,1,27,28,0.9642857142857143,23.28,0.8148148148148148,0.8760064412238326,0.7662936142198816,112.4074074074074,52.592592592592595,25,3,0,0,0,8,1,0,0,28,,,,0.0,0.0,,,,
Alto Campoo,2023,3,Cantabria,N,1530,2175,645,1,28,31,0.9032258064516129,16.750714285714288,0.6458333333333333,0.6413043478260869,0.5513730837957304,78.96551724137932,30.17241379310345,6,9,0,0,16,8,0,0,0,31,,,,0.0,0.0,,,,
Alto Campoo,2023,4,Cantabria,N,1530,2175,645,1,0,30,0.0,,,,,,,0,0,0,0,0,10,3,0,2,30,,,,0.0,0.0,,,,
